type; ID; name; ID2; data; FR;GB
DITL;129;;24;posAndFlags= 11 30 43 62  0xA0;;
DITL;130;;1;posAndFlags= 348 284 368 362  0x04;OK;OK
DITL;130;;2;posAndFlags= 348 115 368 193  0x04;Annuler;Cancel
DITL;130;;3;posAndFlags= 15 46 47 78  0xA0;;
DITL;130;;4;posAndFlags= 23 119 40 349  0x88;Réglez les préférences de Cassio : ;Please set the preferences for Cassio: 
DITL;130;;5;posAndFlags= 15 384 47 416  0xA0;;
DITL;130;;6;posAndFlags= 174 41 190 262  0x08;Expliquer la règle des «passes» :;"Explain ""pass"" rule:"
DITL;130;;7;posAndFlags= 173 261 191 433  0x06;toujours;always
DITL;130;;8;posAndFlags= 193 261 211 298  0x06;les;the
DITL;130;;9;posAndFlags= 213 261 231 417  0x06;jamais;never
DITL;130;;10;posAndFlags= 194 306 210 324  0x10;;
DITL;130;;11;posAndFlags= 194 330 210 435  0x08;premières fois;first times
DITL;130;;12;posAndFlags= 73 24 91 385  0x05;Enregistrer la configuration en quittant;Save the windows positions when quitting
DITL;130;;13;posAndFlags= 93 24 111 385  0x05;Dialogue de confirmation pour quitter;Ask confirmation before quitting
DITL;130;;14;posAndFlags= 113 24 131 332  0x05;Confirmer l'arrêt d'une analyse rétrograde de;Confirm when stopping endgame analysis of
DITL;130;;15;posAndFlags= 114 336 130 357  0x10;;
DITL;130;;16;posAndFlags= 114 364 132 439  0x08;min. et plus;min. or more
DITL;130;;17;posAndFlags= 152 94 168 121  0x10;;
DITL;130;;18;posAndFlags= 152 41 168 91  0x88;Utiliser;Use
DITL;130;;19;posAndFlags= 152 128 168 437  0x88;megaoctets pour la base (^0 parties);Megabytes for the Wthor database (^0 games)
DITL;130;;20;posAndFlags= 250 24 268 141  0x88;Police du rapport :;Rapport font:
DITL;130;;21;posAndFlags= 248 168 268 372  0x00;;
DITL;130;;22;posAndFlags= 275 24 293 171  0x08;Moteur d'évaluation : ;Evaluation engine : 
DITL;130;;23;posAndFlags= 273 168 293 326  0x00;;
DITL;130;;24;posAndFlags= 300 24 318 171  0x08;Processeurs :;Processors : 
DITL;131;;1;posAndFlags= 63 194 83 328  0x04;Dura lex, sed lex;Dura lex, sed lex
DITL;131;;2;posAndFlags= 14 16 46 48  0xA0;;
DITL;131;;3;posAndFlags= 14 64 50 369  0x88;Vous n'avez aucun coup légal : vous passez donc votre tour, et je rejoue…;You have no legal move : you have to pass, and I play again…
DITL;132;;1;posAndFlags= 422 439 442 515  0x04;OK;OK
DITL;132;;2;posAndFlags= 422 341 442 416  0x04;Annuler;Cancel
DITL;132;;3;posAndFlags= 20 180 36 375  0x88;Partie à ajouter dans la liste :;Game to add to the List :
DITL;132;;4;posAndFlags= 12 30 44 62  0xA0;;
DITL;132;;5;posAndFlags= 12 487 44 519  0xA0;;
DITL;132;;6;posAndFlags= 264 61 280 305  0x10;;
DITL;132;;7;posAndFlags= 290 61 306 305  0x10;;
DITL;132;;8;posAndFlags= 316 61 332 305  0x10;;
DITL;132;;9;posAndFlags= 344 61 360 110  0x10;;
DITL;132;;10;posAndFlags= 264 5 280 57  0x88;Noirs;Black
DITL;132;;11;posAndFlags= 291 5 307 57  0x88;Blancs;White
DITL;132;;12;posAndFlags= 317 5 333 57  0x88;Tournoi;Tourn.
DITL;132;;13;posAndFlags= 344 5 360 57  0x88;Année;Year
DITL;132;;14;posAndFlags= 262 311 283 526  0x00;;
DITL;132;;15;posAndFlags= 288 311 309 526  0x00;;
DITL;132;;16;posAndFlags= 314 311 335 526  0x00;;
DITL;132;;17;posAndFlags= 376 49 394 327  0x05;Ajouter automatiquement dans la base :;Save automaticaly in this database :
DITL;133;;1;posAndFlags= 312 364 332 432  0x04;OK;OK
DITL;133;;2;posAndFlags= 312 247 332 320  0x04;Annuler;Cancel
DITL;133;;3;posAndFlags= 312 46 332 199  0x04;Valeurs standard;Standard Values
DITL;133;;4;posAndFlags= 276 7 294 197  0x05;avec tables positionnelles;Uses Positional Tables
DITL;133;;5;posAndFlags= 13 26 45 58  0xA0;;
DITL;134;Désolé…;1;posAndFlags= 99 241 119 311  0x04;OK;OK
DITL;134;Désolé…;2;posAndFlags= 12 60 94 328  0x88;Désolé, cette position n'est pas un solitaire…\n^0;Sorry, this position is not a solitaire…\n^0
DITL;134;Désolé…;3;posAndFlags= 12 15 44 47  0xA0;È;Ä
DITL;135;;1;posAndFlags= 130 269 150 348  0x04;Valider;Accept
DITL;135;;2;posAndFlags= 130 121 150 198  0x04;Annuler;Cancel
DITL;135;;3;posAndFlags= 10 60 79 387  0x88;Cette position est un solitaire !;This position is a solitaire!
DITL;135;;4;posAndFlags= 86 60 120 390  0x88;N.B. : vous pouvez valider la position courante comme position de départ pour jouer le solitaire.;N.B. : you can accept the current position as starting position to play the solitaire.
DITL;136;;1;posAndFlags= 186 16 206 115  0x04;Rechercher >>;Rechercher >>
DITL;136;;2;posAndFlags= 186 297 206 355  0x04;Annuler;Annuler
DITL;136;;3;posAndFlags= 187 127 206 231  0x04;<< Rechercher;<< Rechercher
DITL;136;;4;posAndFlags= 186 372 206 442  0x04;Ouvrir;Ouvrir
DITL;136;;5;posAndFlags= 46 400 62 423  0x10;;
DITL;136;;6;posAndFlags= 46 109 62 265  0x10;;
DITL;136;;7;posAndFlags= 72 109 88 265  0x10;;
DITL;136;;8;posAndFlags= 98 109 114 396  0x10;;
DITL;136;;9;posAndFlags= 126 109 142 165  0x10;;
DITL;136;;10;posAndFlags= 126 398 142 446  0x10;;
DITL;136;;11;posAndFlags= 3 41 36 428  0x88;Entrez ce que vous savez de la partie à rechercher dans la base de Thor :;Entrez ce que vous savez de la partie à rechercher dans la base de Thor :
DITL;136;;12;posAndFlags= 46 9 61 105  0x88;Joueur noir :;Joueur noir :
DITL;136;;13;posAndFlags= 73 9 89 106  0x88;Joueur blanc :;Joueur blanc :
DITL;136;;14;posAndFlags= 99 9 115 84  0x88;Tournoi :;Tournoi :
DITL;136;;15;posAndFlags= 126 9 142 62  0x88;Année :;Année :
DITL;136;;16;posAndFlags= 45 286 62 396  0x88;Score des noirs :;Score des noirs :
DITL;136;;17;posAndFlags= 126 287 143 395  0x88;n° de la partie :;n° de la partie :
DITL;137;;1;posAndFlags= 69 306 89 382  0x04;Suite…;Yes, sure…
DITL;137;;2;posAndFlags= 12 66 60 414  0x88;Pouvez-vous m'aider à localiser le fichier \n«^0» et l'ouvrir pour moi, SVP.\n;Could you help me to find the file «^0» and open it for me, please ?\n
DITL;138;;1;posAndFlags= 101 152 121 277  0x04;Autre solitaire;Other Solitaire
DITL;138;;2;posAndFlags= 101 68 121 137  0x04;Annuler;Cancel
DITL;138;;3;posAndFlags= 13 65 85 290  0x88;Bravo! Vous avez trouvé la seule suite gagnante.\n\nVoulez-vous en faire un autre ?;Congratulations! You found the only winning line.\n\nWould you like to try another one?
DITL;138;;4;posAndFlags= 13 15 45 47  0xA0;;
DITL;139;;1;posAndFlags= 101 152 121 277  0x04;Autre solitaire;Other Solitaire
DITL;139;;2;posAndFlags= 101 68 121 137  0x04;Annuler;Cancel
DITL;139;;3;posAndFlags= 13 65 85 290  0x88;Bravo! Vous avez trouvé la seule suite pour faire nulle.\n\nVoulez-vous en faire un autre ?;Congratulations! You found the only drawing line.\n\nWould you like to try another one?
DITL;139;;4;posAndFlags= 13 15 45 47  0xA0;;
DITL;140;;1;posAndFlags= 287 19 307 121  0x04;Lecture;Load
DITL;140;;2;posAndFlags= 318 19 338 121  0x04;Annuler;Cancel
DITL;140;;3;posAndFlags= 247 12 267 207  0x05;Lecture antichronologique;Recent Games First
DITL;140;;4;posAndFlags= 224 12 240 49  0x88;Dans:;In :
DITL;140;;5;posAndFlags= 72 414 88 437  0x10;;
DITL;140;;6;posAndFlags= 72 111 88 281  0x10;;
DITL;140;;7;posAndFlags= 99 111 115 281  0x10;;
DITL;140;;8;posAndFlags= 127 111 143 398  0x10;;
DITL;140;;9;posAndFlags= 154 111 170 166  0x10;;
DITL;140;;10;posAndFlags= 319 354 338 390  0x04;<<;<<
DITL;140;;11;posAndFlags= 21 80 40 447  0x88;Entrez les critères de la lecture des parties de la base :;Enter the criterias of the games you want to load from the base
DITL;140;;12;posAndFlags= 72 11 88 107  0x08;Joueur noir :;Black Player :
DITL;140;;13;posAndFlags= 99 11 115 108  0x88;Joueur blanc :;White Player :
DITL;140;;14;posAndFlags= 128 11 144 86  0x88;Tournoi :;Tournament :
DITL;140;;15;posAndFlags= 154 11 170 71  0x88;Année :;Year :
DITL;140;;16;posAndFlags= 72 300 88 410  0x88;Score des noirs :;Black Final Score :
DITL;140;;17;posAndFlags= 156 239 172 315  0x88;Ouverture :;Opening :
DITL;140;;18;posAndFlags= 154 80 170 102  0x10;;
DITL;140;;19;posAndFlags= 155 316 172 478  0x00;;
DITL;140;;20;posAndFlags= 223 50 240 210  0x00;;
DITL;140;;21;posAndFlags= 14 30 46 62  0xA0;;
DITL;141;;1;posAndFlags= 215 314 235 391  0x04;OK;OK
DITL;141;;2;posAndFlags= 129 9 197 428  0x88;•Si vous voulez, cependant, pouvoir utiliser ses fonctions de base de données, il faut lui allouer au moins 500K de plus. Mais il est recommandé de lui donner davantage, pour qu'il aille plus vite et puisse charger plus de parties…\n;•But if you want to be able to use its database features, you have to give it at least 2000K. It is, however, highly recommended to give it more, for it goes faster then and can load more games…\n
DITL;141;;3;posAndFlags= 54 9 120 428  0x88;•Si vous envisager de n'utiliser Cassio que comme adversaire pour jouer à Othello, vous pouvez régler sa partition mémoire à sa valeur minimum (en faisant 'Lire les informations' dans le menu Fichier du Finder).;•If you plan to use Cassio only as an Othello opponent, you can give him minimum memory (by selecting 'Get Info' in the File Menu of the Finder).
DITL;141;;4;posAndFlags= 17 125 32 308  0x88;Le problème de la mémoire;The problem of memory
DITL;141;;5;posAndFlags= 9 16 41 48  0xA0;;
DITL;142;;1;posAndFlags= 79 283 99 360  0x04;OK;OK
DITL;142;;2;posAndFlags= 15 59 70 397  0x88;La partie en cours ne commence pas à la position initiale !;The current game didn't start from the initial position ! You won't be able to use it to load games from the database.
DITL;143;;1;posAndFlags= 78 328 97 403  0x04;Annuler;Cancel
DITL;143;;2;posAndFlags= 16 71 74 431  0x88;Etes-vous sûr de vouloir fermer la fenêtre principale de Cassio ? La position va disparaître, et sera perdue si vous ne l'avez sauvegardée.;Are you sure you want to close the board window ? The position will disappear, and will be lost if you haven't saved it.
DITL;143;;3;posAndFlags= 78 203 97 278  0x04;Fermer;Close
DITL;144;;1;posAndFlags= 245 11 265 123  0x04;Imprimer…;Print…
DITL;144;;2;posAndFlags= 275 9 295 84  0x04;Fermer;Close
DITL;144;;3;posAndFlags= 187 9 207 123  0x04;Diagrammes…;Diagrams…
DITL;144;;4;posAndFlags= 41 11 58 101  0x88;Imprimer :;Print :
DITL;144;;5;posAndFlags= 60 3 77 148  0x06;la position actuelle;Current Position
DITL;144;;6;posAndFlags= 79 3 96 140  0x06;le diagramme;Current Diagram
DITL;144;;7;posAndFlags= 98 3 115 123  0x06;les statistiques;Statistics
DITL;144;;8;posAndFlags= 117 3 134 142  0x06;la liste de parties;List of Games
DITL;144;;9;posAndFlags= 136 3 153 142  0x06;la bibliothèque;Opening Library
DITL;144;;10;posAndFlags= 155 3 172 143  0x06;feuille de notation;Tournament Sheet
DITL;144;;11;posAndFlags= 9 200 25 470  0x10;Titre de la page;Page Title
DITL;144;;12;posAndFlags= 3 49 35 81  0xA0;;
DITL;144;;13;posAndFlags= 216 9 236 123  0x04;Mise en page…;Print Setup…
DITL;144;;14;posAndFlags= 308 4 325 148  0x05;Numeros de pages;Page numbers
DITL;144;;15;posAndFlags= 9 149 25 193  0x88;Titre :;Title :
DITL;145;;1;posAndFlags= 258 361 280 431  0x04;OK;OK
DITL;145;;2;posAndFlags= 258 212 280 282  0x04;Annuler;Cancel
DITL;145;;3;posAndFlags= 41 98 57 251  0x10;;
DITL;145;;4;posAndFlags= 41 282 57 435  0x10;;
DITL;145;;5;posAndFlags= 64 98 80 251  0x10;;
DITL;145;;6;posAndFlags= 64 282 80 435  0x10;;
DITL;145;;7;posAndFlags= 87 98 103 251  0x10;;
DITL;145;;8;posAndFlags= 87 282 103 435  0x10;;
DITL;145;;9;posAndFlags= 119 98 135 251  0x10;;
DITL;145;;10;posAndFlags= 119 282 135 435  0x10;;
DITL;145;;11;posAndFlags= 142 98 158 251  0x10;;
DITL;145;;12;posAndFlags= 142 282 158 435  0x10;;
DITL;145;;13;posAndFlags= 165 98 181 251  0x10;;
DITL;145;;14;posAndFlags= 165 282 181 435  0x10;;
DITL;145;;15;posAndFlags= 200 98 216 270  0x10;;
DITL;145;;16;posAndFlags= 200 301 216 473  0x10;;
DITL;145;;17;posAndFlags= 223 98 239 270  0x10;;
DITL;145;;18;posAndFlags= 223 301 239 473  0x10;;
DITL;145;;19;posAndFlags= 62 2 94 70  0x04;Tout\neffacer;Clear\nAll
DITL;145;;20;posAndFlags= 139 2 171 70  0x04;Tout\neffacer;Clear\nAll
DITL;145;;21;posAndFlags= 217 2 249 70  0x04;Tout\neffacer;Clear\nAll
DITL;145;;22;posAndFlags= 40 3 56 89  0x88;Joueur noir :;Black Player:
DITL;145;;23;posAndFlags= 118 3 134 93  0x88;Joueur blanc:;White Player:
DITL;145;;24;posAndFlags= 198 9 215 74  0x88;Tournoi :;Tournament :
DITL;145;;25;posAndFlags= 9 85 26 419  0x88;Critères de sous-sélection des parties de la liste :;Sub-Selection Criterias for the List of Games :
DITL;145;;26;posAndFlags= 40 258 56 278  0x88;ou;or
DITL;145;;27;posAndFlags= 63 258 79 278  0x88;ou;or
DITL;145;;28;posAndFlags= 87 258 103 278  0x88;ou;or
DITL;145;;29;posAndFlags= 118 258 134 278  0x88;ou;or
DITL;145;;30;posAndFlags= 141 258 157 278  0x88;ou;or
DITL;145;;31;posAndFlags= 165 258 181 278  0x88;ou;or
DITL;145;;32;posAndFlags= 200 276 216 296  0x88;ou;or
DITL;145;;33;posAndFlags= 224 276 240 296  0x88;ou;or
DITL;145;;34;posAndFlags= 63 77 79 93  0x88;ou;or
DITL;145;;35;posAndFlags= 87 77 103 93  0x88;ou;or
DITL;145;;36;posAndFlags= 142 77 158 93  0x88;ou;or
DITL;145;;37;posAndFlags= 166 77 182 93  0x88;ou;or
DITL;145;;38;posAndFlags= 221 77 237 93  0x88;ou;or
DITL;145;;39;posAndFlags= 2 33 34 65  0xA0;;
DITL;146;;1;posAndFlags= 390 133 410 237  0x04;OK;OK
DITL;146;;2;posAndFlags= 390 12 410 101  0x04;Annuler;Cancel
DITL;146;;3;posAndFlags= 358 132 378 238  0x04;Style Anglais;English Style
DITL;146;;4;posAndFlags= 358 4 378 124  0x04;Valeurs Fforum;Fforum Values
DITL;146;;5;posAndFlags= 232 5 248 139  0x88;Largeur des cases : ;Square Size:
DITL;146;;6;posAndFlags= 232 146 248 172  0x10;;
DITL;146;;7;posAndFlags= 252 5 268 74  0x88;Bordure : ;Frame: 
DITL;146;;8;posAndFlags= 252 79 268 117  0x10;;
DITL;146;;9;posAndFlags= 67 5 84 50  0x88;Police:;Font:
DITL;146;;10;posAndFlags= 65 64 82 401  0x00;;
DITL;146;;11;posAndFlags= 312 8 328 62  0x06;Titre:;Title:
DITL;146;;12;posAndFlags= 312 66 328 233  0x10;;
DITL;146;;13;posAndFlags= 19 50 37 514  0x88;   ;   
DITL;146;;14;posAndFlags= 90 432 106 568  0x88;;
DITL;146;;15;posAndFlags= 124 5 140 61  0x88;Options:;Options:
DITL;146;;16;posAndFlags= 123 61 141 233  0x05;Coordonnées des cases;Squares Coordinates
DITL;146;;17;posAndFlags= 143 61 161 226  0x05;Coins du carré central;Hoshi Points
DITL;146;;18;posAndFlags= 163 61 181 114  0x05;Pions;Discs
DITL;146;;19;posAndFlags= 164 119 179 130  0x10;1;1
DITL;146;;20;posAndFlags= 163 134 181 238  0x08;pixel en dedans;pixel(s) smaller
DITL;146;;21;posAndFlags= 183 61 201 227  0x05;Traits super fins;Very thin lines
DITL;146;;22;posAndFlags= 290 8 308 193  0x06;Écriture de 'Après 37.c7';Write 'After 37.c7'
DITL;146;;23;posAndFlags= 231 184 242 200  0x80;;
DITL;146;;24;posAndFlags= 93 5 110 42  0x88;Fond:;Back:
DITL;146;;25;posAndFlags= 91 64 108 185  0x00;;
DITL;146;;26;posAndFlags= 252 132 268 207  0x88;Distance :;Distance:
DITL;146;;27;posAndFlags= 252 207 268 230  0x10;;
DITL;146;;28;posAndFlags= 93 209 110 220  0x88;à;at
DITL;146;;29;posAndFlags= 91 221 108 301  0x00;;
DITL;146;;30;posAndFlags= 203 61 221 226  0x05;Marques spéciales;Show Special Stones
DITL;146;;31;posAndFlags= 12 31 44 63  0xA0;;
DITL;147;;1;posAndFlags= 393 133 413 237  0x04;OK;OK
DITL;147;;2;posAndFlags= 393 12 413 101  0x04;Annuler;Cancel
DITL;147;;3;posAndFlags= 363 132 383 238  0x04;Style Anglais;English Style
DITL;147;;4;posAndFlags= 363 4 383 124  0x04;Valeurs Fforum;Fforum Values
DITL;147;;5;posAndFlags= 256 5 272 139  0x88;Largeur des cases : ;Square Size:
DITL;147;;6;posAndFlags= 256 142 272 167  0x10;;
DITL;147;;7;posAndFlags= 279 5 295 70  0x88;Bordure :;Frame:
DITL;147;;8;posAndFlags= 279 76 295 114  0x10;;
DITL;147;;9;posAndFlags= 67 5 84 50  0x88;Police:;Font:
DITL;147;;10;posAndFlags= 65 63 82 351  0x00;;
DITL;147;;11;posAndFlags= 324 5 340 42  0x88;Titre:;Title:
DITL;147;;12;posAndFlags= 324 49 340 234  0x10;;
DITL;147;;13;posAndFlags= 19 50 37 514  0x88; ; 
DITL;147;;14;posAndFlags= 104 335 120 523  0x88;;
DITL;147;;15;posAndFlags= 124 5 140 61  0x88;Options:;Options:
DITL;147;;16;posAndFlags= 123 61 140 233  0x05;Coordonnées des cases;Squares Coordinates
DITL;147;;17;posAndFlags= 143 61 160 226  0x05;Coins du carré central;Hoshi Points
DITL;147;;18;posAndFlags= 163 61 180 114  0x05;Pions;Discs
DITL;147;;19;posAndFlags= 164 117 179 128  0x10;1;1
DITL;147;;20;posAndFlags= 163 132 180 237  0x08;pixel en dedans;pixel(s) smaller
DITL;147;;21;posAndFlags= 183 61 200 227  0x05;Traits super fins;Very thin lines
DITL;147;;22;posAndFlags= 203 61 220 226  0x05;Numeros seulement;Flat Numbers only
DITL;147;;23;posAndFlags= 252 222 268 247  0x80;;
DITL;147;;24;posAndFlags= 93 5 110 43  0x88;Fond:;Back:
DITL;147;;25;posAndFlags= 91 63 108 191  0x00;;
DITL;147;;26;posAndFlags= 279 133 295 208  0x88;Distance :;Distance:
DITL;147;;27;posAndFlags= 279 206 295 229  0x10;;
DITL;147;;28;posAndFlags= 93 221 110 232  0x88;à;at
DITL;147;;29;posAndFlags= 91 233 108 313  0x00;;
DITL;147;;30;posAndFlags= 223 61 240 226  0x05;Marques spéciales;Show Special Stones
DITL;147;;31;posAndFlags= 12 31 44 63  0xA0;;
DITL;148;;1;posAndFlags= 408 133 428 237  0x04;OK;OK
DITL;148;;2;posAndFlags= 408 12 428 101  0x04;Annuler;Cancel
DITL;148;;3;posAndFlags= 377 132 397 238  0x04;Style Anglais;English Style
DITL;148;;4;posAndFlags= 377 4 397 124  0x04;Valeurs Fforum;Fforum Values
DITL;148;;5;posAndFlags= 258 4 274 138  0x88;Largeur des cases : ;Square Size:
DITL;148;;6;posAndFlags= 258 142 274 168  0x10;;
DITL;148;;7;posAndFlags= 283 4 299 73  0x88;Bordure :;Frame:
DITL;148;;8;posAndFlags= 283 74 299 112  0x10;;
DITL;148;;9;posAndFlags= 67 5 84 50  0x88;Police:;Font:
DITL;148;;10;posAndFlags= 65 63 82 348  0x00;;
DITL;148;;11;posAndFlags= 337 61 353 198  0x05;Nom des joueurs;Players Names
DITL;148;;12;posAndFlags= 318 61 334 186  0x05;Nom du tournoi;Tounament Name
DITL;148;;13;posAndFlags= 19 50 37 514  0x88;;
DITL;148;;14;posAndFlags= 90 392 106 567  0x88;;
DITL;148;;15;posAndFlags= 124 4 140 60  0x88;Options:;Options:
DITL;148;;16;posAndFlags= 123 61 140 233  0x05;Coordonnées des cases;Squares coordinates
DITL;148;;17;posAndFlags= 143 61 160 226  0x05;Coins du carré central;Hoshi Points
DITL;148;;18;posAndFlags= 163 61 180 114  0x05;Pions;Discs
DITL;148;;19;posAndFlags= 164 118 179 128  0x10;1;1
DITL;148;;20;posAndFlags= 163 132 180 237  0x08;pixel en dedans;pixel(s) smaller
DITL;148;;21;posAndFlags= 183 61 200 227  0x05;Traits super fins;Thin Lines (Postscript)
DITL;148;;22;posAndFlags= 203 61 220 228  0x05;Numeros seulement;Flat Numbers only
DITL;148;;23;posAndFlags= 318 4 334 55  0x88;Infos :;Infos :
DITL;148;;24;posAndFlags= 92 5 109 42  0x88;Fond:;Back:
DITL;148;;25;posAndFlags= 90 63 107 203  0x00;;
DITL;148;;26;posAndFlags= 283 131 299 200  0x88;Distance :;Distance:
DITL;148;;27;posAndFlags= 283 204 299 227  0x10;;
DITL;148;;28;posAndFlags= 91 229 108 240  0x88;à;at
DITL;148;;29;posAndFlags= 89 241 106 311  0x00;;
DITL;148;;30;posAndFlags= 223 61 240 229  0x05;Marques spéciales;Show Special Stones
DITL;148;;31;posAndFlags= 12 30 44 62  0xA0;;
DITL;149;;1;posAndFlags= 150 241 172 388  0x04;Apprendre la partie;Apprendre la partie
DITL;149;;2;posAndFlags= 151 135 173 198  0x04;Annuler;Annuler
DITL;149;;3;posAndFlags= 13 56 31 414  0x08;Voici une position au coup ^0. Qui est gagnant ?;Voici une position au coup ^0. Qui est gagnant ?
DITL;149;;4;posAndFlags= 56 169 74 338  0x06;Noir est gagnant;Noir est gagnant
DITL;149;;5;posAndFlags= 76 169 94 331  0x06;Nulle;Nulle
DITL;149;;6;posAndFlags= 96 169 114 319  0x06;Blanc est gagnant;Blanc est gagnant
DITL;150;;1;posAndFlags= 70 290 90 384  0x04;Interrompre;Interrupt
DITL;150;;2;posAndFlags= 70 125 90 263  0x04;Continuer l'analyse;Continue with Analysis
DITL;150;;3;posAndFlags= 15 71 49 387  0x88;Ceci interrompra l'analyse rétrograde en cours. Êtes vous d'accord ?;This would interrupt the retrograd analysis in progress. Do you agree ?
DITL;151;;1;posAndFlags= 98 176 118 269  0x04;Remplacer;Replace
DITL;151;;2;posAndFlags= 98 300 118 372  0x04;Annuler;Cancel
DITL;151;;3;posAndFlags= 19 24 51 56  0xA0;È;È
DITL;151;;4;posAndFlags= 15 70 82 373  0x88;Il existe déjà sur le disque une base plus ancienne portant le même nom. Voulez-vous la remplacer ?;There is already an older database on disk with the same name. Do you want to replace it with the one you're saving?
DITL;152;Désolé…;1;posAndFlags= 99 241 119 311  0x04;OK;OK
DITL;152;Désolé…;2;posAndFlags= 12 60 94 328  0x88;Personne ne peut jouer dans cette position ! Revenez en arriere de quelques coups avant de créer le fichier de la solution.;Nobody can play in this position ! You should go back some moves before creating the solution of the solitaire.
DITL;153;;1;posAndFlags= 280 440 300 538  0x04;OK;OK
DITL;153;;2;posAndFlags= 280 279 300 377  0x04;Annuler;Cancel
DITL;153;;3;posAndFlags= 16 515 48 547  0xA0;;
DITL;153;;4;posAndFlags= 24 125 40 482  0x88;Entrez les préférences spéciales de Cassio :;Please set the special preference of Cassio :
DITL;153;;5;posAndFlags= 61 13 79 183  0x05;débuggage général;general debugging
DITL;153;;6;posAndFlags= 78 13 96 183  0x05;débuggage fichiers;file I/O debugging
DITL;153;;7;posAndFlags= 95 13 113 205  0x05;débuggage lecture base;database debugging
DITL;153;;8;posAndFlags= 112 13 130 211  0x05;débug. suite initialisations;initialisation debugging
DITL;153;;9;posAndFlags= 129 13 147 199  0x05;débuggage évenements;events debugging
DITL;153;;10;posAndFlags= 146 13 164 183  0x05;débuggage stratégie;strategy debugging
DITL;153;;11;posAndFlags= 163 13 181 203  0x05;débug. gestion du temps;time debugging
DITL;153;;12;posAndFlags= 180 13 198 183  0x05;débuggage optimalité;optimality debugging
DITL;153;;13;posAndFlags= 197 13 215 198  0x05;débuggage arbre de jeu;game tree debugging
DITL;153;;14;posAndFlags= 214 13 232 206  0x05;débug. Smart Game Board;Smart Game Board debug.
DITL;153;;15;posAndFlags= 231 13 249 183  0x05;débug. apprentissage;book learning debugging
DITL;153;;16;posAndFlags= 248 13 266 183  0x05;débug. algo de finale;endgame algorithm
DITL;153;;17;posAndFlags= 61 214 79 384  0x05;débuggage Mac OS X;Mac OS X debugging
DITL;153;;18;posAndFlags= 78 214 96 384  0x05;debug. engine results;engine input debug.
DITL;153;;19;posAndFlags= 95 214 113 384  0x05;debug. engine requests;engine output debug.
DITL;153;;20;posAndFlags= 112 214 130 384  0x05;debug. zoo;zoo debug.
